search_term,status,status_no_spaces,n_youtube_videos,n_youtube_channels,n_youtube_videos_no_spaces,n_youtube_channels_no_spaces
3d,Full,,94491931.0,1296711.0,,
5g,Full,,5118659.0,314791.0,,
abuse,Full,,10435651.0,151652.0,,
acts,Full,,74249808.0,719430.0,,
american,Full,,218561790.0,1775611.0,,
animal,Full,,174857698.0,1315410.0,,
aryan,Full,,5609990.0,5005.0,,
asian,Full,,124353555.0,1337206.0,,
assult,Full,,192087.0,31.0,,
attack,Full,,106228194.0,604465.0,,
automatic,Full,,36879326.0,142656.0,,
ban,Full,,59812533.0,834529.0,,
black,Full,,361696056.0,1708367.0,,
bull,Full,,34027481.0,396356.0,,
bullfighting,Full,,468637.0,97.0,,
buy,Full,,121785047.0,1722847.0,,
camps,Full,,62218691.0,835091.0,,
capacity,Full,,8396729.0,27740.0,,
card,Full,,100356387.0,937632.0,,
chewing,Full,,5682456.0,30581.0,,
clips,Full,,269137613.0,1819331.0,,
coffee,Full,,37444653.0,827245.0,,
content,Full,,76797422.0,1685226.0,,
conversion,Full,,30910635.0,326971.0,,
credit,Full,,63524011.0,1100305.0,,
dark,Full,,161138171.0,1375355.0,,
date,Full,,87153766.0,1700166.0,,
denial,Full,,5521471.0,19787.0,,
device,Full,,61941962.0,614707.0,,
die,Full,,184007509.0,1744993.0,,
doesn't,Full,,49137898.0,651108.0,,
dog,Full,,144345659.0,1354498.0,,
don't,Full,,274758373.0,1736803.0,,
dramatized,Full,,583369.0,44.0,,
drinking,Full,,23102079.0,366583.0,,
dual,Full,,33257708.0,266195.0,,
education,Full,,94893783.0,1432088.0,,
ever,Full,,226733785.0,1689786.0,,
execution,Full,,9018680.0,41729.0,,
exist,Full,,15940801.0,155759.0,,
explict,Full,,151386.0,17.0,,
extermination,Full,,1030671.0,141.0,,
fake,Full,,60911479.0,1047395.0,,
fashion,Full,,61953290.0,1163621.0,,
fighting,Full,,90361251.0,1263372.0,,
fluids,Full,,8434406.0,104531.0,,
food,Full,,166411782.0,1695384.0,,
from,Full,,895865099.0,1763110.0,,
game,Full,,1305967314.0,1774360.0,,
gas,Full,,35588905.0,468350.0,,
generate,Full,,104739403.0,87639.0,,
genocide,Full,,2793974.0,2225.0,,
germany,Full,,105479214.0,1545637.0,,
globalist,Full,,337811.0,94.0,,
gratification,Full,,377321.0,88.0,,
guaranteed,Full,,9166860.0,40872.0,,
harassment,Full,,4069417.0,9826.0,,
hard,Full,,160394097.0,1281398.0,,
heil,Full,,924748.0,212.0,,
high,Full,,296760562.0,1724812.0,,
hitler,Full,,5603467.0,25132.0,,
home,Full,,369922470.0,1837792.0,,
hostages,Full,,3279111.0,3174.0,,
hunt,Full,,106981790.0,889129.0,,
i,Full,,1457554934.0,1771526.0,,
ideology,Full,,1840697.0,465.0,,
ilhan,Full,,1223731.0,350.0,,
in,Full,,1617564913.0,1815761.0,,
incorrect,Full,,1924633.0,309.0,,
industry,Full,,69291870.0,922832.0,,
justice,Full,,26691063.0,365910.0,,
kaepernick,Full,,471972.0,117.0,,
kits,Full,,73800669.0,1247376.0,,
leaks,Full,,33398701.0,347891.0,,
liberation,Full,,2995718.0,1826.0,,
lives,Full,,987261982.0,1785786.0,,
make,Full,,562234812.0,1785556.0,,
making,Full,,179708819.0,1820751.0,,
matter,Full,,54166690.0,866068.0,,
minors,Full,,26807817.0,243467.0,,
miracle,Full,,31109002.0,229128.0,,
mod,Full,,105593167.0,682896.0,,
nation,Full,,51750735.0,983559.0,,
no,Full,,1225184207.0,1710541.0,,
now,Full,,472527331.0,1749949.0,,
numbers,Full,,126818421.0,1808167.0,,
on,Full,,1814987793.0,1782924.0,,
online,Full,,337750426.0,1797650.0,,
organs,Full,,14848036.0,90338.0,,
package,Full,,29592846.0,442716.0,,
papers,Full,,78099634.0,934054.0,,
parenting,Full,,3590994.0,79785.0,,
party,Full,,228711013.0,1631369.0,,
pens,Full,,28066476.0,446264.0,,
people,Full,,229420085.0,1820707.0,,
photo,Full,,104337195.0,1710359.0,,
positive,Full,,33272882.0,457276.0,,
power,Full,,197268441.0,1549346.0,,
praise,Full,,30475089.0,164227.0,,
prayer,Full,,52426946.0,282755.0,,
pride,Full,,21132114.0,256346.0,,
print,Full,,34669355.0,596285.0,,
propoganda,Full,,49689.0,15.0,,
question,Full,,133704328.0,1581587.0,,
race,Full,,173672511.0,1431789.0,,
radical,Full,,9679115.0,108162.0,,
recruit,Full,,10581751.0,46502.0,,
remedy,Full,,18453089.0,61824.0,,
ritual,Full,,13636419.0,107184.0,,
rolling,Full,,41318104.0,399373.0,,
salve,Full,,6891528.0,53117.0,,
scenes,Full,,191100269.0,1754704.0,,
scientist,Full,,14952450.0,254946.0,,
scopes,Full,,13392836.0,89022.0,,
selling,Full,,24829284.0,476418.0,,
services,Full,,125881065.0,1481951.0,,
shops,Full,,158565282.0,1758283.0,,
sieg,Full,,2270018.0,774.0,,
silencer,Full,,2399434.0,1308.0,,
solidarity,Full,,1516953.0,345.0,,
solution,Full,,66609252.0,690053.0,,
stand,Full,,85139681.0,1125189.0,,
stocks,Full,,57896933.0,603997.0,,
stolen,Full,,17785745.0,238368.0,,
supremacy,Full,,2040264.0,640.0,,
terror,Full,,27878366.0,415192.0,,
text,Full,,47057823.0,843936.0,,
the,Full,,1690570626.0,1766412.0,,
this,Full,,1811531226.0,1822043.0,,
threads,Full,,10897754.0,193703.0,,
tomorrow,Full,,34775608.0,876997.0,,
toys,Full,,158365762.0,1168700.0,,
two,Full,,221810839.0,1767187.0,,
unwanted,Full,,2730260.0,4539.0,,
unwatned,Full,,45.0,0.0,,
vaccine,Full,,5723146.0,191382.0,,
vest,Full,,4074175.0,28058.0,,
video,Full,,1768400964.0,1842928.0,,
videos,Full,,1780792877.0,1860931.0,,
war,Full,,204126340.0,1558170.0,,
web,Full,,90086808.0,1805931.0,,
white,Full,,176161813.0,1685497.0,,
with,Full,,1470441875.0,1766414.0,,
work,Full,,368021848.0,1706778.0,,
worldwide,Full,,19023783.0,762727.0,,
ww2,Full,,10605118.0,141243.0,,
you'll,Full,,202525524.0,1624979.0,,
