search_term,youtube_channel_id,youtube_channel_name,youtube_channel_subs,youtube_channel_videos,youtube_channel_thumbnail,channel_url
kike,,,,,,
nazi,,,,,,
stormfront,,,,,,
goy,,,,,,
kkk,,,,,,
neo-confederate,,,,,,
holohoax,,,,,,
dindu,,,,,,
wetback,,,,,,
neo-nazi,,,,,,
nigger,,,,,,
ethnic cleansing,UCO9BorKN00Lc4XAWt2wVeAA,Amhara Press - ልሣነ ዐማራ,11800,54,https://yt3.ggpht.com/a/AATXAJyn6_beP6LFDt2GINHkt6WKk_ndlXehjVPO-lTcnA=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCO9BorKN00Lc4XAWt2wVeAA
ethnic cleansing,UCMHBe0bIbNBLtNKEUjRQWJg,Sister Kerry-Ann,46900,543,https://yt3.ggpht.com/ytc/AAUvwniszfIVweBFm2JaMl07o7BpPhKpYr4uq6SOwGCGg8c=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCMHBe0bIbNBLtNKEUjRQWJg
ethnic cleansing,UC1h3bqESVdqkwm123Ce4ZmA,Ben Swann,156000,665,https://yt3.ggpht.com/a/AATXAJzKrDBJPMGJBPAqBzhxHy0KhGC7joYaV9YfXfuZmq4=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC1h3bqESVdqkwm123Ce4ZmA
ethnic cleansing,UCMDY8JAIaCTcCm8X-SkV7sQ,Priscilla Wood,21100,67,https://yt3.ggpht.com/ytc/AAUvwnjq2JM5ltTmtMkzMJvynNa3bQmQS632m-oGA_cxdw=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCMDY8JAIaCTcCm8X-SkV7sQ
ethnic cleansing,UCckMqUWHVwFWJwSVE9FQJaA,Israel Advocacy Movement,16700,231,https://yt3.ggpht.com/a/AATXAJzOwbUwJhOrtE4e1AthfZOQ3gODfih9mRhLodTZ=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCckMqUWHVwFWJwSVE9FQJaA
ethnic cleansing,UCZ9x3ZI_dUSugygeFTZov_g,ROHINGYA HAMID SONGS,5710,649,https://yt3.ggpht.com/a/AATXAJw_jxRK_EIvulFXsxj3KAf653nk9GF1i3Gr9_Wxqw=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCZ9x3ZI_dUSugygeFTZov_g
ethnic cleansing,UCLztPeJlQvp1QArefpph10A,DEEPSHIKA,2080,23,https://yt3.ggpht.com/ytc/AAUvwnhZ3cDG9Y8hv9SJCxhksTmB5L4RRyi7rFIOxxEWVA=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCLztPeJlQvp1QArefpph10A
ethnic cleansing,UCvGOHJtCIrIe21Rn7bouIJQ,Rais Ofßeauty,12000,116,https://yt3.ggpht.com/ytc/AAUvwni_HlB7WD27f13XPNF-Hi75gKH2YbeomU5ZLwuGdQ=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCvGOHJtCIrIe21Rn7bouIJQ
ethnic cleansing,UC_3N6DWsfk7rjCUCmJSpfkA,FLY- First Love Yourself,20400,326,https://yt3.ggpht.com/a/AATXAJw26B3Cl-XobHSGb61B3DeZDJcSGs7SbTWR6a7vDA=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC_3N6DWsfk7rjCUCmJSpfkA
ethnic cleansing,UCnlvx7UbPXx2JlljGXeDK4Q,Beauty's sparkles,1770,60,https://yt3.ggpht.com/a/AATXAJxtR5sE9PN2qJDdvmS40jGAVmcZ0NAs8rJ3jALL=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCnlvx7UbPXx2JlljGXeDK4Q
ethnic cleansing,UCeZedReQzR-NCZAJpNec5-g,Sanjana Bhatia,7350,50,https://yt3.ggpht.com/ytc/AAUvwng-dZrdHnqGuzr6BdSwQgDhINHMtl3u1ZWiK5NtUw=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCeZedReQzR-NCZAJpNec5-g
ethnic cleansing,UC_W74i_njnkAzJ8ZDyUDZkQ,Miss Chillaxx,9190,263,https://yt3.ggpht.com/ytc/AAUvwniELKH0XbEpFgMwmwzXtHm1j0kE8cMHrK_MClZs=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC_W74i_njnkAzJ8ZDyUDZkQ
ethnic cleansing,UC6Y0T-6_GapEcGQyRXe_uGw,VIPR - Varna Peace Institute,1110,65,https://yt3.ggpht.com/ytc/AAUvwnjwKRjJ2I7g4Kchn_pcd4M53QYwNdACCqEOs1d8=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC6Y0T-6_GapEcGQyRXe_uGw
ethnic cleansing,UC8Z53Sqtmugew95BupqjtJA,Shopping Blast !!,4560,153,https://yt3.ggpht.com/a/AATXAJwkjkna1USUNLehAElo7YTj8y49clvbGbXa0tYg=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC8Z53Sqtmugew95BupqjtJA
race war,UCWJxXBND5VITb0E9fDKUxMA,SPIRITUAL So,1150000,185,https://yt3.ggpht.com/a/AATXAJycY7jl15UvNLwt5EXVcTt7viIPeUkQNMBdHDt9kg=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCWJxXBND5VITb0E9fDKUxMA
race war,UCi5iiEyLwSLvlqnMi02u5gQ,Caitlin Doughty – Ask A Mortician,1330000,239,https://yt3.ggpht.com/a/AATXAJwLTfFCgi3DKwgNESI17iYqHL7snOUu1rvw_go3=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCi5iiEyLwSLvlqnMi02u5gQ
race war,UCCUQbQivBq233fSOm39kg1w,TBA,35600,86,https://yt3.ggpht.com/a/AATXAJxxnckvaSATZPFFoSlqwJ7Xb-w468nUCYw5sdsd=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCCUQbQivBq233fSOm39kg1w
race war,UC2ja61Zku_rw3ZBfDZi8cuQ,KCM TV,35800,1777,https://yt3.ggpht.com/ytc/AAUvwngXqZaDv6WBGExVsV8cDjIa-eP7v4CpRTbXtRjkTA=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC2ja61Zku_rw3ZBfDZi8cuQ
race war,UCbLIqv9Puhyp9_ZjVtfOy7w,Call of Duty League,1110000,8398,https://yt3.ggpht.com/ytc/AAUvwnjUFs-VSjDqXRpPLE4Z1UnFeVv9UapQCC1hEfcSPg=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCbLIqv9Puhyp9_ZjVtfOy7w
race war,UC7dTk7z9VcaHiYmUP0ytZcg,Doc671,10700,60,https://yt3.ggpht.com/ytc/AAUvwniVikYMlS_dBNhCvLByqp-EVPL-Vu8N7-jSYGt-ew=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC7dTk7z9VcaHiYmUP0ytZcg
race war,UC-3jIAlnQmbbVMV6gR7K8aQ,The Majority Report w/ Sam Seder,975000,15856,https://yt3.ggpht.com/ytc/AAUvwnj3JU1qtvJbWXrhYbarWnXI-reQgAa755AieSU=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ
race war,UC0LORruNg0srLMotoXWvInA,Bro. Sanchez LIVE!,,274,https://yt3.ggpht.com/ytc/AAUvwniWvzo7SI_YdIe3jNTjONc7coh4u_xeBxkvm-YDkQ=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC0LORruNg0srLMotoXWvInA
race war,UCwgoZXczzKRm4eurUNL9srg,LegendofTotalWar,317000,5395,https://yt3.ggpht.com/a/AATXAJyGbwtBTE3GpZakbpflLTucmefWKsyEd7dY57tCRA=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCwgoZXczzKRm4eurUNL9srg
