search_term,youtube_channel_id,youtube_channel_name,youtube_channel_subs,youtube_channel_videos,youtube_channel_thumbnail,channel_url
say her name,UCHwY7H-o_S0lvtxzXTCr5gQ,Beauti-is Her-name,341000,407,https://yt3.ggpht.com/a/AATXAJz-YKg0GpznDVXpfo7GTDs0tRbdKVzk1xh-UZGx0g=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCHwY7H-o_S0lvtxzXTCr5gQ
say her name,UCv7YFWATebnJ1ty4cwMKgsQ,The Wendy Williams Show,2530000,6350,https://yt3.ggpht.com/a/AATXAJyjFvSfdXb7dhMZ6NsponR5UIK-f60helYLCpi_pQ=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCv7YFWATebnJ1ty4cwMKgsQ
say her name,UClSaCc5ltWsyq9qYmni-0YA,V-103 Atlanta,164000,4529,https://yt3.ggpht.com/a/AATXAJy7S1G62n28r-CMw9ePeoOLKEBsnUgIM4sbCE5znA=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UClSaCc5ltWsyq9qYmni-0YA
say her name,UCWxlUwW9BgGISaakjGM37aw,Valkyrae,2110000,265,https://yt3.ggpht.com/a/AATXAJxcuKRU8tTUKY37LYQnRnNVaJW83QWVFUOjgtbg-Q=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCWxlUwW9BgGISaakjGM37aw
say her name,UCQZFAQPTQtrFrTu6Hb4vwsw,My name is Byf,851000,1257,https://yt3.ggpht.com/ytc/AAUvwnhaukATXgcDG56_B4J4mRz0YP4RiqEfMaoXnPrLjQ=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCQZFAQPTQtrFrTu6Hb4vwsw
say her name,UCqC9wT9TI5Va0yWG77-q3IA,seattletimesdotcom,34200,3628,https://yt3.ggpht.com/ytc/AAUvwngOOojDQHfj9UdL6vxHAsBEJNHf9Q8Gq4O-GPJK=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCqC9wT9TI5Va0yWG77-q3IA
say her name,UCU0X0jiii24OXllSgXbPVBw,Madelaine Petsch,6090000,118,https://yt3.ggpht.com/a/AATXAJyA_aSCw6saEM4a6FCxPj6ESyEJDv2mOBc-8BXL=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCU0X0jiii24OXllSgXbPVBw
say her name,UCucot-Zp428OwkyRm2I7v2Q,James Charles,23800000,315,https://yt3.ggpht.com/a/AATXAJy55EPmVvVkEXnKPi-S1B5nn8l_2VkVqsNtz8vBxg=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCucot-Zp428OwkyRm2I7v2Q
say her name,UCvlVuntLjdURVD3b3Hx7kxw,Dry Bar Comedy,1180000,1413,https://yt3.ggpht.com/a/AATXAJxRz1WaW0c71YSJHWn2-ze5b5NwOAkg8PFZqnboMA=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCvlVuntLjdURVD3b3Hx7kxw
say her name,UCOCaabklILvyztRZVINiTAA,B. Bryant Films,1680,137,https://yt3.ggpht.com/ytc/AAUvwnj-WMQl2UWblhbLUKaowPeZpZ9jcY-nzggVuZQQig=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCOCaabklILvyztRZVINiTAA
say her name,UCIeyFD8DHaiy36Zgv9lE2hQ,youresoloud,347000,33,https://yt3.ggpht.com/a/AATXAJwEblLe8JIAIbn1jLz0I0To2RK0tJB5miB7yBPD=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCIeyFD8DHaiy36Zgv9lE2hQ
say her name,UChXKjLEzAB1K7EZQey7Fm1Q,Pokimane,6060000,466,https://yt3.ggpht.com/ytc/AAUvwngXrQv0-fzdqAs5DpqolfuJ7DNkO2sP-t_8ZlZA3Q=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UChXKjLEzAB1K7EZQey7Fm1Q
say her name,UC98tcedR6gULv8_b70WJKyw,Frog Leap Studios,4100000,832,https://yt3.ggpht.com/a/AATXAJy8tSPi8Kb5LYazeHn_prZaY23ejaLqynzYZP7EFQ=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC98tcedR6gULv8_b70WJKyw
say her name,UC9gFih9rw0zNCK3ZtoKQQyA,JennaMarbles,20200000,250,https://yt3.ggpht.com/a/AATXAJwDA6q4Qu5R12QbfYAJmGb_VCQQUS1VxIuB6rmj=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UC9gFih9rw0zNCK3ZtoKQQyA
say her name,UCCLZfZNgKxUQsCbPod7iVpw,EMPIRE,395000,837,https://yt3.ggpht.com/a/AATXAJx_godcoXghWWuWBX9QFMGm-nRCPlmbgizIPmtvgg=s88-c-k-c0x00ffffff-no-rj,www.youtube.com/channel/UCCLZfZNgKxUQsCbPod7iVpw
