search_term,youtube_video_id,youtube_video_title,youtube_video_views,youtube_video_channel,video_url
ethnic cleansing,04axDDRVy_o,"The “ethnic cleansing” of Myanmar’s Rohingya Muslims, explained",1377650,Vox,www.youtube.com/watch/?v=04axDDRVy_o
ethnic cleansing,7xtNtrvwXXI,What Is Ethnic Cleansing? | NowThis World,59767,NowThis World,www.youtube.com/watch/?v=7xtNtrvwXXI
ethnic cleansing,PD1-qFwmMZ0,Let&#39;s Play Ethnic Cleansing,15603,WhyBeAre,www.youtube.com/watch/?v=PD1-qFwmMZ0
ethnic cleansing,FayMoKwyoO4,Banished  The Ethnic Cleansing Of Blacks in America,13996,Robert Williams,www.youtube.com/watch/?v=FayMoKwyoO4
ethnic cleansing,PkASy36MUvU,The Ethnic Cleansing In Aceh That Nobody Knows About,1332879,Journeyman Pictures,www.youtube.com/watch/?v=PkASy36MUvU
ethnic cleansing,o4O-ymHeWkk,Leaked video EXPOSES Uighur ethnic cleansing in China &amp; AMBASSADOR tries to justify it,53736,Glenn Beck,www.youtube.com/watch/?v=o4O-ymHeWkk
ethnic cleansing,LRXAKr-Gd7o,Tariq Nasheed: Ethnic Cleansing Manual,71952,Tariq Radio,www.youtube.com/watch/?v=LRXAKr-Gd7o
ethnic cleansing,ulPsNrMMZ3E,1999 - a documentary about Kosovo War and ethnic cleansing,316637,Pasqyra Shqiptare,www.youtube.com/watch/?v=ulPsNrMMZ3E
ethnic cleansing,1cZJJeOxQ-s,We Spoke To Rohingya Muslims Fleeing Ethnic Cleansing In Myanmar (HBO),71438,VICE News,www.youtube.com/watch/?v=1cZJJeOxQ-s
ethnic cleansing,8xZ2-he-9P0,ETHNIC CLEANSING!!!,989,RAP THE NEWs,www.youtube.com/watch/?v=8xZ2-he-9P0
ethnic cleansing,V4mkyoFXm_I,Bhutan Ethnic Cleansing of Hindus,83079,Rajiv Malhotra Official,www.youtube.com/watch/?v=V4mkyoFXm_I
ethnic cleansing,jmzev5EsQbY,Najgorsze Gry Wszechczasów - Ethnic Cleansing (Odcinek 115),56145,BartekGM,www.youtube.com/watch/?v=jmzev5EsQbY
ethnic cleansing,HA_JukhIF3s,Giochi di Pessimo Gusto - EP10 Ethnic Cleansing: The Game,325239,Parliamo di Videogiochi,www.youtube.com/watch/?v=HA_JukhIF3s
ethnic cleansing,5RaitukKfvk,Rohingya refugees: Three years of a ‘textbook example of ethnic cleansing&#39; | DW News,11651,DW News,www.youtube.com/watch/?v=5RaitukKfvk
ethnic cleansing,N-5LlxTc5GI,Ethnic Cleansing - Video Game Bunker,22741,Dragon's Layer Productions,www.youtube.com/watch/?v=N-5LlxTc5GI
ethnic cleansing,qDxuBtCuyB8,"Krystal &amp; Saagar: Mark Cuban DISMISSES Ethnic Cleansing ‘China&#39;s A Customer, I&#39;m Ok Doing Business’",187771,The Hill,www.youtube.com/watch/?v=qDxuBtCuyB8
ethnic cleansing,-ICV0ln91a0,"Mexican Americans, Ethnic Cleansing of Blacks, In West Coast",37825,MexicanAmericanMale,www.youtube.com/watch/?v=-ICV0ln91a0
ethnic cleansing,C4Kp4QyPkL4,S1: Tactics of Ethnic Cleansing &amp; Religious Expansionism - Shocking Insights by Subramanian Swamy ji,291408,The Festival of Bharat,www.youtube.com/watch/?v=C4Kp4QyPkL4
ethnic cleansing,EVzs5N_OXbM,The Ethnic Cleansing of a Nation,28018,Journeyman Pictures,www.youtube.com/watch/?v=EVzs5N_OXbM
ethnic cleansing,VHT6O79lVaA,Ethnic Cleansing,593,Hefty - Topic,www.youtube.com/watch/?v=VHT6O79lVaA
race war,J9uOVlCuEao,Former WH Aide Says Trump Wants a &#39;Race War&#39;,17719,AP Archive,www.youtube.com/watch/?v=J9uOVlCuEao
race war,voGRIlt4WQM,FBI: White supremacists plotted race war,18913,CNN,www.youtube.com/watch/?v=voGRIlt4WQM
race war,lfbRAGQ472c,Rep. Bobby Rush Says &quot;Trump Wants To Instigate A Race War&quot;,57430,Roland S. Martin,www.youtube.com/watch/?v=lfbRAGQ472c
race war,_HPHM7-Bfwg,Former WH Aide Says Trump Wants a &#39;Race War&#39;,2213,AP Archive,www.youtube.com/watch/?v=_HPHM7-Bfwg
race war,0HveFM0Npz0,NC Police Officers’ Racist Rant Caught On Tape: ‘I Can’t Wait’ For Race War | All In | MSNBC,1547408,MSNBC,www.youtube.com/watch/?v=0HveFM0Npz0
race war,y7Ug0dGMnHs,&quot;Katrina&#39;s Hidden Race War&quot; Four Years Later,22178,The Nation,www.youtube.com/watch/?v=y7Ug0dGMnHs
race war,81Xiyn-3Uwk,Former WH Aide Says Trump Wants a &#39;Race War&#39;,7352,Associated Press,www.youtube.com/watch/?v=81Xiyn-3Uwk
race war,VYy77IGsBFc,WKUK Race War!,1416888,The Whitest Kids U'Know,www.youtube.com/watch/?v=VYy77IGsBFc
race war,3AaTFvRYsKk,The Media Is Making A Race War | Andrew Schulz and Akaash Singh,240076,Flagrant 2 Clips,www.youtube.com/watch/?v=3AaTFvRYsKk
race war,pCOYCvaA8cs,DC Mayor warns of US &quot;descending into a race war&quot;,7194,The Hill,www.youtube.com/watch/?v=pCOYCvaA8cs
race war,GNNhs54oWXg,David Banner: &quot;Black People Aren&#39;t Ready For A Race War&quot;,528423,GlobalGrindTV,www.youtube.com/watch/?v=GNNhs54oWXg
race war,2AfiJgopyto,[ROUND 2] StarCraft Remastered Race War [T.E.N],43013,T.E.N.,www.youtube.com/watch/?v=2AfiJgopyto
race war,WGIoK541TnY,The Race War Starts November 3... Riots Planned To Hand Trump A Coup! Greg Palast Joins,42858,act.tv,www.youtube.com/watch/?v=WGIoK541TnY
race war,Hg09K8v8qVY,[ROUND 1] StarCraft Remastered Race War [T.E.N],81501,T.E.N.,www.youtube.com/watch/?v=Hg09K8v8qVY
race war,JNL-Qmn7OBA,[ROUND 3] StarCraft Remastered Race War [T.E.N],51128,T.E.N.,www.youtube.com/watch/?v=JNL-Qmn7OBA
race war,z2eCTNBlnK8,"What&#39;s Coming to America - Race Wars,  Ethnic Conflict and Chaos | (excerpt) by David Wilkerson",67163,Ahava Jerusalem,www.youtube.com/watch/?v=z2eCTNBlnK8
race war,rWdZpxRDe80,Diddy On 2020 Election-&#39;WE ARE ON THE VERGE OF A RACE WAR&#39;,11100,HipHopDX,www.youtube.com/watch/?v=rWdZpxRDe80
race war,kQHgS_U5aSQ,&#39;Democrats wanted to bate Trump into a race war&#39;: Morrow,21370,Sky News Australia,www.youtube.com/watch/?v=kQHgS_U5aSQ
race war,diZ7bHKTck4,Malcolm X - Race War in America,18922,1453malcolmx,www.youtube.com/watch/?v=diZ7bHKTck4
race war,k13mCg8cisY,Tyson James - Race War ft. Kelvin J (Christian Conservative Hip Hop),8502,Tyson James,www.youtube.com/watch/?v=k13mCg8cisY
white nationalism,TaGNiqB0J8Q,The Rise of White Nationalism | Erin Maye Quade | TEDxUMN,3929,TEDx Talks,www.youtube.com/watch/?v=TaGNiqB0J8Q
white nationalism,2AdadHekkiU,Combating White Nationalism In The Classroom | NBC News NOW,20471,NBC News,www.youtube.com/watch/?v=2AdadHekkiU
white nationalism,-9Jaaff0INQ,How big a threat is white nationalism? | UpFront (Arena),10411,Al Jazeera English,www.youtube.com/watch/?v=-9Jaaff0INQ
white nationalism,OEUs6NVOXAc,White Nationalist Groups Celebrate Trump’s Refusal To Condemn Them | NBC News NOW,209487,NBC News,www.youtube.com/watch/?v=OEUs6NVOXAc
