search_term,youtube_video_id,youtube_video_title,youtube_video_views,youtube_video_channel,video_url
say her name,rph8Ho__iTw,#SayHerName - Breonna Taylor | #KachCover,28602,Extra Kach,www.youtube.com/watch/?v=rph8Ho__iTw
say her name,XwQ0DloFwbc,MASTER P CREATES A CLASSIC DEDICATION SONG TO BREONNA TAYLOR TITLED “SAY HER NAME”,57032,NO LIMIT FOREVER,www.youtube.com/watch/?v=XwQ0DloFwbc
say her name,G3NcCt63uEU,Daphne Willis - Say Her Name (Lyric Video),1102,Daphne Willis Music,www.youtube.com/watch/?v=G3NcCt63uEU
say her name,TR0ScBH4W0g,STOOK ft B Simm x Taya Envy - SAY HER NAME (official Video) Shot by: DirtchiFilms,8321,DaRealStook23 DaRealStook23,www.youtube.com/watch/?v=TR0ScBH4W0g
say her name,OFQLc-AANLY,How Did The #SayHerName Campaign Begin? Hear From Professor Kimberlé Crenshaw | Oxygen,1605,Oxygen,www.youtube.com/watch/?v=OFQLc-AANLY
say her name,46kfcJhiIA8,Aja Monet &quot;Say Her Name&quot;,31358,Summit,www.youtube.com/watch/?v=46kfcJhiIA8
say her name,yau7zoTG8Yw,&#39;Say Her Name&#39;: New HBO Doc Examines The Life and Death Of Sandra Bland,35111,Roland S. Martin,www.youtube.com/watch/?v=yau7zoTG8Yw
say her name,VkojKx83oSY,2018 Women of the World Poetry Slam - FreeQuency &quot;Say Her Name&quot;,28517,Poetry Slam Inc,www.youtube.com/watch/?v=VkojKx83oSY
say her name,jMV5_lyYR6Y,Say Her Name: Families Seek Justice in Overlooked Police Killings of African-American Women,7455,Democracy Now!,www.youtube.com/watch/?v=jMV5_lyYR6Y
say her name,k32zb2eGMxY,#SayHerName,157,AAMBC Inc,www.youtube.com/watch/?v=k32zb2eGMxY
say her name,SYExjbV5Fjk,Black Women Matter and We Will #SayHerName,8544,For Harriet,www.youtube.com/watch/?v=SYExjbV5Fjk
say her name,akOe5-UsQ2o,The urgency of intersectionality | Kimberlé Crenshaw,674524,TED,www.youtube.com/watch/?v=akOe5-UsQ2o
say her name,9HjeB0Jy0gI,"Say her name, Shukri Abdi ✊🏾✊🏾",371177,OnePath Network,www.youtube.com/watch/?v=9HjeB0Jy0gI
say her name,dSuRD3BXZVc,Camila Cabello Reveals the CORRECT Way to Say Her Name,5958855,Hollyscoop,www.youtube.com/watch/?v=dSuRD3BXZVc
say her name,5ZTvqGHj_R0,"#SayHerName: Saints players support black women, social justice",2488,New Orleans Saints,www.youtube.com/watch/?v=5ZTvqGHj_R0
say her name,Whmbl97CePo,Elvis Costello - I Can’t Say Her Name (Official Audio),6650,Elvis Costello,www.youtube.com/watch/?v=Whmbl97CePo
say her name,K0NOe163JUc,Iyla - Power (Say Her Name) (Lyric Video),5526,EMPIRE,www.youtube.com/watch/?v=K0NOe163JUc
say her name,fV1dEbAkxWw,"Solange Calls For Justice For Breonna Taylor, Beyonce Criticized #sayhername",32605,Lailah Lynn,www.youtube.com/watch/?v=fV1dEbAkxWw
say her name,k5Zq8A9POrk,"Protesters in Washington, D.C. Demand Justice for Breonna Taylor: &#39;Say Her Name!&#39;",162326,Bloomberg Quicktake: Now,www.youtube.com/watch/?v=k5Zq8A9POrk
say her name,4Ufoom2wqZs,"&#39;Say Her Name&#39;: Sandra Bland Documentary Preimers April 25, At Tribeca Film Festival",3813,Your Black World,www.youtube.com/watch/?v=4Ufoom2wqZs
antifascist,antifascist,,0,,www.youtube.com/watch/?v=antifascist
no new jails,xuGsrcwYDsU,No New Jails Rally - NYC,235,FNTV - FreedomNewsTV,www.youtube.com/watch/?v=xuGsrcwYDsU
no new jails,-2fyQegQ0YU,No New Jails in NYC,78,Probasi Television,www.youtube.com/watch/?v=-2fyQegQ0YU
no new jails,Zxv7Zz0AzBg,no new jails los angeles,271,LA CAN,www.youtube.com/watch/?v=Zxv7Zz0AzBg
no new jails,fSgeNL5TpjI,Protestors Call To Close Rikers Island Now Without New Jails,617,CBS New York,www.youtube.com/watch/?v=fSgeNL5TpjI
no new jails,mqr_rNLtUBQ,Elect Steve Singer as Magistrate--No New Jails!,101934,Steve Singer for Judge,www.youtube.com/watch/?v=mqr_rNLtUBQ
no new jails,bW2uNIzbY5o,No New Jails in Los Angeles,16,PMbeers,www.youtube.com/watch/?v=bW2uNIzbY5o
no new jails,2R0HXzNMcio,City Planning Commission Approves Plan To Replace Rikers Island With Smaller Jails In 4 Boroughs,473,CBS New York,www.youtube.com/watch/?v=2R0HXzNMcio
no new jails,w2UwX8Eswlk,"De Blasio, Police Commissioner Disagree On Impact Of Smaller Jails In Boroughs",347,CBS New York,www.youtube.com/watch/?v=w2UwX8Eswlk
no new jails,JBMwUC_E9y4,Odisha Govt Enacts New Jail Manual,3612,OTV,www.youtube.com/watch/?v=JBMwUC_E9y4
no new jails,Ik2ne_caLWk,Fugget About It - Canadian Jails are like Heaven,7745,Fugget About It,www.youtube.com/watch/?v=Ik2ne_caLWk
no new jails,UkFU871Z0Ac,Different Types Of Prisoners Who GET RELEASED FROM PRISON,24011,AfterPrisonShow,www.youtube.com/watch/?v=UkFU871Z0Ac
no new jails,E3QGntDC-nw,NEW YORK JAILS AND Prison Real facts on how it goes down,27589,ON THE LOCKOUT,www.youtube.com/watch/?v=E3QGntDC-nw
no new jails,1eYyy-QPQNs,"Rikers Island Netas,KINGS,and Bloods Gangs In New York City Jails TRUE STORY",3228,ON THE LOCKOUT,www.youtube.com/watch/?v=1eYyy-QPQNs
no new jails,2ZMghRswHvE,PRAYERS CHOLOANI,221240,PRAYERS SD,www.youtube.com/watch/?v=2ZMghRswHvE
no new jails,0KPmOiWxAlM,Inside El Salvador’s Jails (Excerpt from ‘Gangs of El Salvador’),259836,VICE News,www.youtube.com/watch/?v=0KPmOiWxAlM
no new jails,EpIwekEbLHY,"Council To Vote On Plan To Close Rikers Island, Open Local Jails",695,CBS New York,www.youtube.com/watch/?v=EpIwekEbLHY
no new jails,UROaU_PwD44,Ohio budget plan that&#39;s moving drug dealers from prisons to county jails raising concerns,259,LOCAL 12,www.youtube.com/watch/?v=UROaU_PwD44
no new jails,ys6TCO_olOc,The Best Explanation of Addiction I’ve Ever Heard – Dr. Gabor Maté,14649,FightMediocrity,www.youtube.com/watch/?v=ys6TCO_olOc
no new jails,mV-B-G4uW3c,Rikers Island Closing To Make More Jails &amp; #AllWomanSpacewalk,1115,Watching the Hawks RT,www.youtube.com/watch/?v=mV-B-G4uW3c
no new jails,Luhx9JFgAUw,Seattle&#39;s &#39;Get out of Jail Free&#39; card? Jails not booking on warrants for several crimes,6387,KOMO News,www.youtube.com/watch/?v=Luhx9JFgAUw
civil rights,S64zRnnn4Po,Civil Rights and the 1950s: Crash Course US History #39,3112525,CrashCourse,www.youtube.com/watch/?v=S64zRnnn4Po
civil rights,kbwsF-A2sTg,Civil Rights &amp; Liberties: Crash Course Government #23,901190,CrashCourse,www.youtube.com/watch/?v=kbwsF-A2sTg
civil rights,URxwe6LPvkM,History of the Civil Rights Movement,962433,WatchMojo.com,www.youtube.com/watch/?v=URxwe6LPvkM
civil rights,4CgMxy4Arj8,Civil Rights in America Part 1 - Manny Man Does History,22896,John D Ruddy,www.youtube.com/watch/?v=4CgMxy4Arj8
civil rights,wrVWEKpnOQE,Top 10 American Civil Rights Activists,166712,WatchMojo.com,www.youtube.com/watch/?v=wrVWEKpnOQE
civil rights,8atXMqZ_w0M,The fight for civil rights and freedom | John Lewis and Bryan Stevenson,221301,TED,www.youtube.com/watch/?v=8atXMqZ_w0M
civil rights,WKEGou1zPII,Civil Rights Act of 1964 | Montgomery Bus Boycott for Kids | Rosa Parks and Martin Luther King,277831,Kids Academy,www.youtube.com/watch/?v=WKEGou1zPII
civil rights,CBm48Scju9E,"Rare Video Footage of Historic Alabama 1965 Civil Rights Marches, MLK&#39;s Famous Montgomery Speech",316651,Democracy Now!,www.youtube.com/watch/?v=CBm48Scju9E
