Search Term,Statusfor Ad Placement,Status with Spaces Removed,N YouTube Videos,N Channels Videos
american muslim,Blocked,Full,,
black lives matter,Blocked,Full,,
black power,Blocked,Full,,
electoral justice,Blocked,Full,,
i stand with ilhan,Blocked,Full,,
i stand with kaepernick,Blocked,Full,,
muslim american,Blocked,Full,,
muslim fashion,Blocked,Full,,
muslim parenting,Blocked,Full,,
muslim solidarity,Blocked,Full,,
no muslim ban ever,Blocked,Full,,
stand with ilhan,Blocked,Full,,
white supremacy,Blocked,Full,,
black muslim,Blocked,Partial Block,,
sex ed,Blocked,Blocked,,
sex work,Blocked,Blocked,,
sexual liberation,Blocked,Blocked,,
antifascist,Partial Block,,1.0,14.0
colonialism,Partial Block,,1.0,110.0
reparations,Partial Block,,1.0,275.0
abolish ice,Full,,272724.0,21.0
abolish the police,Full,,366031.0,48.0
anti-black,Full,,50849865.0,165537.0
anti-fascist,Full,,480610.0,36.0
antiracism,Full,,199649.0,144.0
believe black women,Full,,69444470.0,1318.0
bipoc,Full,,13864.0,29.0
black august,Full,,70790580.0,640977.0
black dissent,Full,,301125.0,11.0
black excellence,Full,,5766739.0,186.0
black girls matter,Full,,33247118.0,8701.0
black hair,Full,,77254889.0,535954.0
black identity extremists,Full,,44306.0,1.0
black in tech,Full,,72299626.0,287600.0
black is beautiful,Full,,186868224.0,537955.0
black liberation,Full,,2865238.0,139.0
black panthers,Full,,3293595.0,111.0
black trans lives matter,Full,,5789332.0,108.0
civil rights,Full,,22652003.0,436.0
defund the police,Full,,161904.0,206.0
digital justice,Full,,20761435.0,469.0
end police brutality,Full,,2108298.0,233.0
for the culture,Full,,284044232.0,1290724.0
hijab fashion,Full,,1118033.0,781.0
i can't breathe,Full,,27207945.0,619.0
lgbtq+,Full,,467636.0,659.0
movement for black lives,Full,,34738293.0,357.0
no justice no peace,Full,,24182882.0,248.0
no new jails,Full,,248414.0,36.0
no tech for ice,Full,,48627267.0,618.0
oscars so white,Full,,3474154.0,81.0
patriarchy,Full,,172889.0,73.0
qpoc,Full,,1949.0,3.0
queer,Full,,1662989.0,9899.0
racial injustice,Full,,5306601.0,251.0
racial justice,Full,,2101399.0,111.0
repeal the ban,Full,,419270.0,7.0
say her name,Full,,153173549.0,441555.0
say their names,Full,,156323370.0,476101.0
tell black stories,Full,,56566840.0,128222.0
white fragility,Full,,165212.0,38.0
wypipo,Full,,1072.0,1.0
