search_term,status,status_no_spaces,n_youtube_videos,n_youtube_channels,n_youtube_videos_no_spaces,n_youtube_channels_no_spaces
for the culture,Full,,48876702.0,18081.0,,
black hair,Full,,31693385.0,11071.0,,
tell black stories,Full,,10725609.0,8666.0,,
hijab fashion,Full,,2084440.0,6324.0,,
colonialism,Partial Block,,1.0,3429.0,,
digital justice,Full,,5136821.0,870.0,,
no tech for ice,Full,,4396459.0,562.0,,
patriarchy,Full,,209334.0,94.0,,
oscars so white,Full,,3367816.0,75.0,,
abolish the police,Full,,397651.0,37.0,,
black dissent,Full,,327632.0,13.0,,
wypipo,Empty,,0.0,0.0,,
white fragility,Empty,,0.0,0.0,,
say their names,Empty,,0.0,0.0,,
say her name,Empty,,0.0,0.0,,
repeal the ban,Empty,,0.0,0.0,,
reparations,Partial Block,,1.0,0.0,,
racial justice,Empty,,0.0,0.0,,
racial injustice,Empty,,0.0,0.0,,
queer,Empty,,0.0,0.0,,
qpoc,Empty,,0.0,0.0,,
no new jails,Empty,,0.0,0.0,,
no justice no peace,Empty,,0.0,0.0,,
movement for black lives,Empty,,0.0,0.0,,
lgbtq+,Empty,,0.0,0.0,,
i can't breathe,Empty,,0.0,0.0,,
end police brutality,Empty,,0.0,0.0,,
defund the police,Empty,,0.0,0.0,,
civil rights,Empty,,0.0,0.0,,
black trans lives matter,Empty,,0.0,0.0,,
black panthers,Empty,,0.0,0.0,,
black liberation,Empty,,0.0,0.0,,
black is beautiful,Empty,,0.0,0.0,,
black in tech,Empty,,0.0,0.0,,
black identity extremists,Empty,,0.0,0.0,,
black girls matter,Empty,,0.0,0.0,,
black excellence,Empty,,0.0,0.0,,
black august,Empty,,0.0,0.0,,
bipoc,Empty,,0.0,0.0,,
believe black women,Empty,,0.0,0.0,,
antiracism,Empty,,0.0,0.0,,
antifascist,Partial Block,,1.0,0.0,,
anti-fascist,Empty,,0.0,0.0,,
anti-black,Empty,,0.0,0.0,,
abolish ice,Empty,,0.0,0.0,,
sexual liberation,Blocked,Blocked,,,,
sex work,Blocked,Blocked,,,,
sex ed,Blocked,Blocked,,,,
white supremacy,Blocked,Empty,,,0.0,0.0
stand with ilhan,Blocked,Empty,,,0.0,0.0
no muslim ban ever,Blocked,Empty,,,0.0,0.0
muslim solidarity,Blocked,Empty,,,0.0,0.0
muslim parenting,Blocked,Empty,,,0.0,0.0
muslim fashion,Blocked,Empty,,,0.0,0.0
muslim american,Blocked,Empty,,,0.0,0.0
i stand with kaepernick,Blocked,Empty,,,0.0,0.0
i stand with ilhan,Blocked,Empty,,,0.0,0.0
electoral justice,Blocked,Empty,,,0.0,0.0
black power,Blocked,Empty,,,0.0,0.0
black muslim,Blocked,Partial Block,,,1.0,0.0
black lives matter,Blocked,Empty,,,0.0,0.0
american muslim,Blocked,Empty,,,0.0,0.0
